2016-03-23 16:28:23,785 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\CollectorConfig\src\test\resources
2016-03-23 16:31:32,498 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-23 16:31:32,499 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\CloeeCommonsPackage\src\main\resources
2016-03-23 16:31:32,501 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-23 16:31:32,502 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\CloeeCommonsPackage\src\test\resources
2016-03-23 16:34:29,942 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-23 16:34:29,943 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\EventAPI\src\main\resources
2016-03-23 16:34:29,945 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-23 16:34:29,945 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\EventAPI\src\test\resources
2016-03-23 16:36:26,284 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-23 16:36:26,285 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\MachineAPI\src\main\resources
2016-03-23 16:36:26,286 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-23 16:36:26,287 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\MachineAPI\src\test\resources
2016-03-23 16:39:45,503 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @2039494ms
2016-03-23 16:39:46,446 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.2.13.v20150730
2016-03-23 16:39:46,483 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@1e3a4d28{/help,null,AVAILABLE}
2016-03-23 16:39:46,496 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@588392f6{HTTP/1.1}{127.0.0.1:53429}
2016-03-23 16:39:46,496 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @2040487ms
2016-03-23 16:39:47,429 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-23 16:39:47,429 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\CollectorConfig\src\main\resources
2016-03-23 16:39:47,431 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-23 16:39:47,431 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\CollectorConfig\src\test\resources
2016-03-23 16:41:14,216 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-23 16:41:14,217 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\CollectorConfig\src\main\resources
2016-03-23 16:41:14,220 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-23 16:41:14,220 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\CollectorConfig\src\test\resources
2016-03-23 16:42:39,420 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-23 16:42:39,421 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\CloeeCommonsPackage\src\main\resources
2016-03-23 16:42:39,422 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-23 16:42:39,423 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\CloeeCommonsPackage\src\test\resources
2016-03-23 16:42:55,285 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-23 16:42:55,286 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\CloeeCommonsPackage\src\main\resources
2016-03-23 16:42:55,287 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-23 16:42:55,288 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\CloeeCommonsPackage\src\test\resources
2016-03-23 16:44:31,426 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-23 16:44:31,426 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\CollectorConfig\src\main\resources
2016-03-23 16:44:31,427 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-23 16:44:31,428 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\CollectorConfig\src\test\resources
2016-03-23 16:46:05,628 [Stop Help Server] INFO  o.e.jetty.server.ServerConnector - Stopped ServerConnector@588392f6{HTTP/1.1}{127.0.0.1:0}
2016-03-23 16:46:05,641 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@1e3a4d28{/help,null,UNAVAILABLE}
2016-03-29 09:30:38,632 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 09:30:38,638 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\CollectorConfig\src\main\resources
2016-03-29 09:30:38,641 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 09:30:38,642 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\CollectorConfig\src\test\resources
2016-03-29 09:31:08,048 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 09:31:08,050 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\EventAPI\src\main\resources
2016-03-29 09:31:08,053 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 09:31:08,055 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\EventAPI\src\test\resources
2016-03-29 09:31:09,815 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 09:31:09,816 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\MachineAPI\src\main\resources
2016-03-29 09:31:09,818 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 09:31:09,818 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\MachineAPI\src\test\resources
